file,lines,tool,run_index,real_time_sec,user_time_sec,sys_time_sec,perf_instructions,perf_cycles,perf_cachemiss,perf_branchmiss,output_size_bytes
big_1x.s,71,libchata,1,0.06,0.02,0.02,111499765,56310440,21666,16727,60800
big_1x.s,71,libchata,2,0.03,0.02,0.00,111499764,56299856,20710,16727,60800
big_1x.s,71,libchata,3,0.03,0.02,0.01,111499764,56435914,21856,16755,60800
big_1x.s,71,libchata,4,0.03,0.02,0.01,111499762,56304327,20692,18402,60800
big_1x.s,71,libchata,5,0.03,0.02,0.01,111499764,56241017,19831,17376,60800
big_1x.s,71,libchata,6,0.03,0.02,0.00,111499766,56512567,20831,17137,60800
big_1x.s,71,libchata,7,0.03,0.02,0.01,111499762,56243519,20558,16824,60800
big_1x.s,71,libchata,8,0.03,0.02,0.00,111499763,56183989,17115,17137,60800
big_1x.s,71,libchata,9,0.04,0.02,0.01,111499765,56488643,22025,16713,60800
big_1x.s,71,libchata,10,0.03,0.02,0.01,111499764,56382008,20201,16605,60800
big_1x.s,71,as+objcopy,1,0.04,0.03,0.01,193404431,83779197,21466,226980,73600
big_1x.s,71,as+objcopy,2,0.04,0.02,0.01,193872194,83189806,21891,227945,73600
big_1x.s,71,as+objcopy,3,0.04,0.03,0.01,193405878,82653287,17649,225349,73600
big_1x.s,71,as+objcopy,4,0.04,0.03,0.00,193405842,82867015,21185,225059,73600
big_1x.s,71,as+objcopy,5,0.04,0.03,0.00,193405822,83871452,20866,223896,73600
big_1x.s,71,as+objcopy,6,0.04,0.03,0.01,193872325,82769674,19056,221840,73600
big_1x.s,71,as+objcopy,7,0.04,0.03,0.00,193405875,83165111,22042,219092,73600
big_1x.s,71,as+objcopy,8,0.06,0.03,0.01,193405784,82754265,20256,226413,73600
big_1x.s,71,as+objcopy,9,0.04,0.03,0.01,193405850,83850837,21070,228285,73600
big_1x.s,71,as+objcopy,10,0.04,0.03,0.01,193405913,83280492,19213,221766,73600
big_4x.s,71,libchata,1,0.09,0.07,0.01,437708081,221030184,51328,20792,243200
big_4x.s,71,libchata,2,0.09,0.08,0.00,437708081,217755134,48444,21354,243200
big_4x.s,71,libchata,3,0.09,0.07,0.01,437708082,218507999,51886,21415,243200
big_4x.s,71,libchata,4,0.09,0.07,0.02,437708079,217754524,46203,21378,243200
big_4x.s,71,libchata,5,0.08,0.07,0.01,437708083,218169265,51599,21858,243200
big_4x.s,71,libchata,6,0.08,0.07,0.01,437708080,217967892,43307,25552,243200
big_4x.s,71,libchata,7,0.10,0.08,0.01,437708082,218438819,48048,21865,243200
big_4x.s,71,libchata,8,0.08,0.07,0.01,437708081,217926531,42905,21131,243200
big_4x.s,71,libchata,9,0.09,0.07,0.01,437708082,218042817,45900,20564,243200
big_4x.s,71,libchata,10,0.09,0.07,0.01,437708080,218087825,50913,21309,243200
big_4x.s,71,as+objcopy,1,0.13,0.11,0.01,761841709,325028150,105345,757505,294400
big_4x.s,71,as+objcopy,2,0.13,0.11,0.01,761841644,325026856,86983,761827,294400
big_4x.s,71,as+objcopy,3,0.12,0.11,0.00,763707339,322104043,78348,757782,294400
big_4x.s,71,as+objcopy,4,0.12,0.11,0.01,761841603,321739616,90601,756184,294400
big_4x.s,71,as+objcopy,5,0.12,0.11,0.01,761841688,321015868,77255,758640,294400
big_4x.s,71,as+objcopy,6,0.13,0.11,0.02,761841778,320736157,81566,743279,294400
big_4x.s,71,as+objcopy,7,0.13,0.11,0.01,761841693,322568538,74072,731229,294400
big_4x.s,71,as+objcopy,8,0.12,0.11,0.01,763707352,328725242,89545,790473,294400
big_4x.s,71,as+objcopy,9,0.12,0.10,0.01,761841686,321093669,72899,751151,294400
big_4x.s,71,as+objcopy,10,0.12,0.11,0.01,761841639,320099962,86051,736449,294400
big_8x.s,71,libchata,1,0.17,0.15,0.01,872651167,433554754,72579,31490,486400
big_8x.s,71,libchata,2,0.16,0.14,0.01,872651162,433066301,61689,27265,486400
big_8x.s,71,libchata,3,0.35,0.31,0.03,872651166,438535897,112728,30916,486400
big_8x.s,71,libchata,4,0.16,0.15,0.01,872651166,433307678,86148,29615,486400
big_8x.s,71,libchata,5,0.16,0.14,0.01,872651163,433442803,84728,26874,486400
big_8x.s,71,libchata,6,0.16,0.15,0.01,872651166,433134968,66585,26278,486400
big_8x.s,71,libchata,7,0.16,0.15,0.01,872651165,433110317,75261,31768,486400
big_8x.s,71,libchata,8,0.16,0.15,0.01,872651165,435700858,86774,27372,486400
big_8x.s,71,libchata,9,0.16,0.15,0.01,872651165,433632361,88314,32520,486400
big_8x.s,71,libchata,10,0.16,0.15,0.01,872651164,432837999,95792,27258,486400
big_8x.s,71,as+objcopy,1,0.24,0.22,0.01,1523489369,651582348,491455,1470769,588800
big_8x.s,71,as+objcopy,2,0.24,0.22,0.02,1519758096,650075705,477776,1438166,588800
big_8x.s,71,as+objcopy,3,0.24,0.22,0.01,1519758042,652747490,434796,1506512,588800
big_8x.s,71,as+objcopy,4,0.26,0.22,0.03,1525524681,648772061,457771,1442130,588800
big_8x.s,71,as+objcopy,5,0.24,0.22,0.01,1519758065,654882124,468809,1477537,588800
big_8x.s,71,as+objcopy,6,0.24,0.22,0.02,1519758065,648697380,319094,1502763,588800
big_8x.s,71,as+objcopy,7,0.24,0.21,0.03,1519758023,652380449,453147,1546144,588800
big_8x.s,71,as+objcopy,8,0.24,0.22,0.02,1525524723,652915064,487108,1421018,588800
big_8x.s,71,as+objcopy,9,0.24,0.22,0.02,1519757986,648303926,344547,1442308,588800
big_8x.s,71,as+objcopy,10,0.24,0.21,0.02,1519758047,647055797,449267,1432774,588800
big_16x.s,71,libchata,1,0.31,0.29,0.02,1742535786,864266556,181317,50101,972800
big_16x.s,71,libchata,2,0.32,0.29,0.02,1742535788,868277087,191509,42226,972800
big_16x.s,71,libchata,3,0.31,0.29,0.01,1742535786,864447380,116800,44531,972800
big_16x.s,71,libchata,4,0.31,0.29,0.02,1742535786,864380624,117559,52954,972800
big_16x.s,71,libchata,5,0.31,0.29,0.01,1742535786,863979301,167826,37963,972800
big_16x.s,71,libchata,6,0.32,0.29,0.02,1742535789,868488230,194874,41242,972800
big_16x.s,71,libchata,7,0.31,0.29,0.02,1742535785,863215468,180861,39681,972800
big_16x.s,71,libchata,8,0.32,0.29,0.03,1742535785,863581131,242232,38528,972800
big_16x.s,71,libchata,9,0.31,0.29,0.01,1742535787,863044708,164747,41447,972800
big_16x.s,71,libchata,10,0.32,0.30,0.01,1742535793,865110588,232782,40235,972800
big_16x.s,71,as+objcopy,1,0.48,0.44,0.03,3035609461,1318042198,2060349,2895957,1177600
big_16x.s,71,as+objcopy,2,0.48,0.44,0.03,3035609382,1318985064,2152598,2860714,1177600
big_16x.s,71,as+objcopy,3,0.48,0.44,0.03,3035609423,1319155834,1705543,2911285,1177600
big_16x.s,71,as+objcopy,4,0.48,0.45,0.02,3035609388,1312403296,1674896,2931267,1177600
big_16x.s,71,as+objcopy,5,0.48,0.45,0.03,3035609436,1328046525,2137667,2947464,1177600
big_16x.s,71,as+objcopy,6,0.48,0.44,0.03,3035609417,1313675554,2003927,2911152,1177600
big_16x.s,71,as+objcopy,7,0.50,0.46,0.03,3035609461,1358507414,2047886,2897503,1177600
big_16x.s,71,as+objcopy,8,0.48,0.44,0.03,3035609384,1318528622,2016049,3020327,1177600
big_16x.s,71,as+objcopy,9,0.48,0.43,0.03,3043071846,1314440622,2105032,2845236,1177600
big_16x.s,71,as+objcopy,10,0.50,0.45,0.04,3035609579,1320684629,2136381,2878756,1177600
big_32x.s,71,libchata,1,0.63,0.58,0.04,3482197245,1727703786,328524,62784,1945600
big_32x.s,71,libchata,2,0.61,0.59,0.01,3482197252,1728103649,468135,61223,1945600
big_32x.s,71,libchata,3,0.61,0.59,0.02,3482197250,1727033065,467772,62365,1945600
big_32x.s,71,libchata,4,0.61,0.58,0.02,3482197757,1727968121,478367,89599,1945600
big_32x.s,71,libchata,5,0.63,0.58,0.04,3482197247,1725517913,480299,63309,1945600
big_32x.s,71,libchata,6,0.63,0.58,0.04,3482197762,1731276617,486275,70542,1945600
big_32x.s,71,libchata,7,0.61,0.58,0.02,3482197245,1730957030,481516,63735,1945600
big_32x.s,71,libchata,8,0.61,0.58,0.03,3482197246,1723573076,457933,71440,1945600
big_32x.s,71,libchata,9,0.63,0.59,0.04,3482197765,1727570652,470970,104128,1945600
big_32x.s,71,libchata,10,0.61,0.58,0.01,3482197759,1725672646,426150,123144,1945600
big_32x.s,71,as+objcopy,1,1.01,0.94,0.06,6067301575,2748182774,6450294,5731526,2355200
big_32x.s,71,as+objcopy,2,0.97,0.90,0.05,6067302391,2669769937,6361310,5548960,2355200
big_32x.s,71,as+objcopy,3,0.96,0.91,0.04,6067302492,2683503874,6477479,5879519,2355200
big_32x.s,71,as+objcopy,4,0.96,0.90,0.05,6067302375,2671016098,6414895,5600745,2355200
big_32x.s,71,as+objcopy,5,0.97,0.91,0.05,6067302953,2692139639,6484111,5722364,2355200
big_32x.s,71,as+objcopy,6,0.96,0.89,0.05,6067302455,2660308572,6451439,5554510,2355200
big_32x.s,71,as+objcopy,7,0.98,0.90,0.07,6067302420,2704347749,6452100,5672616,2355200
big_32x.s,71,as+objcopy,8,0.99,0.92,0.05,6082227363,2731804312,6469715,6107549,2355200
big_32x.s,71,as+objcopy,9,0.97,0.92,0.04,6067302926,2722847414,6561364,5675688,2355200
big_32x.s,71,as+objcopy,10,0.97,0.90,0.06,6067302904,2694810031,6543934,5664517,2355200
big_64x.s,71,libchata,1,1.24,1.17,0.06,6961625688,3450390472,1262487,143660,3891200
big_64x.s,71,libchata,2,1.20,1.16,0.03,6961625898,3446915077,1143406,108226,3891200
big_64x.s,71,libchata,3,1.22,1.16,0.05,6961625683,3444112965,1197176,118153,3891200
big_64x.s,71,libchata,4,1.20,1.17,0.02,6961625690,3452003735,1195838,164488,3891200
big_64x.s,71,libchata,5,1.21,1.16,0.04,6961625905,3444020329,1120917,108934,3891200
big_64x.s,71,libchata,6,1.19,1.16,0.02,6961625681,3444547116,1188170,106999,3891200
